epoch,train_loss,val_loss,epoch_seconds,timestamp
0,0.363794,0.192704,50.5,2026-08-07T07:03:02
1,0.213006,0.158166,50.3,2026-08-07T07:03:52
2,0.182035,0.143579,50.4,2026-08-07T07:04:42
3,0.162166,0.122991,50.5,2026-08-07T07:05:33
4,0.156831,0.144037,50.6,2026-08-07T07:06:24
5,0.150678,0.108081,50.6,2026-08-07T07:07:14
6,0.142104,0.104690,50.6,2026-08-07T07:08:05
7,0.135598,0.105651,50.6,2026-08-07T07:08:55
8,0.131090,0.104627,50.6,2026-08-07T07:09:46
9,0.125157,0.101999,50.6,2026-08-07T07:10:37
10,0.121286,0.097611,50.6,2026-08-07T07:11:27
11,0.120084,0.107016,50.6,2026-08-07T07:12:18
12,0.118389,0.098277,50.7,2026-08-07T07:13:09
13,0.117886,0.095196,50.7,2026-08-07T07:13:59
14,0.112565,0.089918,50.8,2026-08-07T07:14:50
15,0.108555,0.112039,50.8,2026-08-07T07:15:41
16,0.110158,0.095057,50.7,2026-08-07T07:16:32
17,0.105737,0.097260,50.7,2026-08-07T07:17:23
18,0.103954,0.085875,50.7,2026-08-07T07:18:13
19,0.098717,0.089674,50.7,2026-08-07T07:19:04
20,0.099024,0.090553,50.8,2026-08-07T07:19:55
21,0.098659,0.083397,50.7,2026-08-07T07:20:46
22,0.095603,0.086563,50.7,2026-08-07T07:21:36
23,0.095907,0.076061,50.8,2026-08-07T07:22:27
24,0.095801,0.094145,50.8,2026-08-07T07:23:18
25,0.088635,0.101006,50.8,2026-08-07T07:24:09
26,0.088338,0.091496,50.8,2026-08-07T07:25:00
27,0.085532,0.077462,50.8,2026-08-07T07:25:50
28,0.083869,0.086863,50.8,2026-08-07T07:26:41
29,0.083349,0.072695,50.8,2026-08-07T07:27:32
30,0.078913,0.093375,50.8,2026-08-07T07:28:23
31,0.080898,0.073455,50.8,2026-08-07T07:29:14
32,0.081369,0.070578,50.8,2026-08-07T07:30:05
33,0.073518,0.079211,50.8,2026-08-07T07:30:55
34,0.070831,0.066567,50.8,2026-08-07T07:31:46
35,0.069990,0.071859,50.8,2026-08-07T07:32:37
36,0.067247,0.082035,50.8,2026-08-07T07:33:28
37,0.065949,0.066527,50.8,2026-08-07T07:34:19
38,0.067725,0.067797,50.8,2026-08-07T07:35:10
39,0.061046,0.057234,50.7,2026-08-07T07:36:00
40,0.057852,0.064545,50.7,2026-08-07T07:36:51
41,0.056563,0.053944,50.7,2026-08-07T07:37:42
42,0.056673,0.064092,50.6,2026-08-07T07:38:32
43,0.053818,0.073558,50.6,2026-08-07T07:39:23
44,0.051736,0.056039,50.6,2026-08-07T07:40:14
45,0.052337,0.068734,50.6,2026-08-07T07:41:04
46,0.052918,0.084186,50.6,2026-08-07T07:41:55
47,0.050656,0.045275,50.6,2026-08-07T07:42:46
48,0.044055,0.060160,50.6,2026-08-07T07:43:36
49,0.046902,0.051878,50.6,2026-08-07T07:44:27
50,0.044429,0.053812,50.6,2026-08-07T07:45:18
51,0.043021,0.046719,50.6,2026-08-07T07:46:08
52,0.040780,0.057690,50.8,2026-08-07T07:46:59
53,0.042085,0.054311,50.9,2026-08-07T07:47:50
54,0.039265,0.044514,50.6,2026-08-07T07:48:41
55,0.039599,0.060341,50.6,2026-08-07T07:49:31
56,0.039134,0.056500,50.6,2026-08-07T07:50:22
57,0.036873,0.044802,50.6,2026-08-07T07:51:13
58,0.036625,0.047033,50.7,2026-08-07T07:52:03
59,0.034640,0.049778,50.7,2026-08-07T07:52:54
60,0.034469,0.047117,50.6,2026-08-07T07:53:45
61,0.031348,0.039407,50.6,2026-08-07T07:54:35
62,0.037488,0.046697,50.6,2026-08-07T07:55:26
63,0.030224,0.038426,50.6,2026-08-07T07:56:17
64,0.029019,0.037273,50.6,2026-08-07T07:57:07
65,0.029616,0.031454,50.6,2026-08-07T07:57:58
66,0.030568,0.052582,50.6,2026-08-07T07:58:49
67,0.024560,0.027888,50.7,2026-08-07T07:59:39
68,0.029292,0.040775,50.7,2026-08-07T08:00:30
69,0.025470,0.074235,50.7,2026-08-07T08:01:21
70,0.023799,0.041143,50.6,2026-08-07T08:02:11
71,0.025189,0.043799,50.6,2026-08-07T08:03:02
72,0.020102,0.028162,50.7,2026-08-07T08:03:53
73,0.031184,0.037907,50.6,2026-08-07T08:04:43
74,0.024660,0.046887,50.6,2026-08-07T08:05:34
75,0.018979,0.041958,50.6,2026-08-07T08:06:25
76,0.026731,0.064043,50.6,2026-08-07T08:07:15
77,0.025483,0.030734,50.6,2026-08-07T08:08:06
78,0.020650,0.024495,50.6,2026-08-07T08:08:57
79,0.016679,0.082836,50.7,2026-08-07T08:09:47
80,0.018127,0.038728,50.6,2026-08-07T08:10:38
81,0.014498,0.023045,50.6,2026-08-07T08:11:29
82,0.016590,0.028191,50.6,2026-08-07T08:12:19
83,0.015749,0.038824,50.6,2026-08-07T08:13:10
84,0.012853,0.034237,50.6,2026-08-07T08:14:01
85,0.011075,0.026829,50.7,2026-08-07T08:14:51
86,0.013149,0.026415,50.7,2026-08-07T08:15:42
87,0.013787,0.025286,50.7,2026-08-07T08:16:33
88,0.010237,0.020362,50.7,2026-08-07T08:17:24
89,0.014698,0.018694,50.6,2026-08-07T08:18:14
90,0.009715,0.028762,50.7,2026-08-07T08:19:05
91,0.016296,0.015428,50.7,2026-08-07T08:19:56
92,0.007802,0.039125,50.6,2026-08-07T08:20:46
93,0.010877,0.020457,50.6,2026-08-07T08:21:37
94,0.008981,0.021966,50.6,2026-08-07T08:22:28
95,0.005505,0.023019,50.7,2026-08-07T08:23:18
96,0.005080,0.026482,50.6,2026-08-07T08:24:09
97,0.006570,0.017229,50.6,2026-08-07T08:25:00
98,0.004317,0.009773,50.7,2026-08-07T08:25:50
99,0.006236,0.040133,50.6,2026-08-07T08:26:41
100,0.003280,0.012308,50.6,2026-08-07T08:27:32
101,0.004336,0.033047,50.6,2026-08-07T08:28:22
102,0.001449,0.020735,50.6,2026-08-07T08:29:13
103,0.007554,0.008363,50.6,2026-08-07T08:30:04
