epoch,train_loss,val_loss,epoch_seconds,timestamp
0,0.340310,0.194059,50.8,2026-08-06T21:31:28
1,0.211655,0.163355,50.6,2026-08-06T21:32:19
2,0.184066,0.141801,50.7,2026-08-06T21:33:10
3,0.164900,0.121891,50.6,2026-08-06T21:37:00
4,0.155982,0.124952,50.4,2026-08-06T21:37:50
5,0.146839,0.112598,50.6,2026-08-06T21:38:41
6,0.142001,0.111615,50.6,2026-08-06T21:39:31
7,0.135569,0.107487,50.6,2026-08-06T21:40:22
8,0.129243,0.100043,50.6,2026-08-06T21:41:13
9,0.123979,0.095406,50.6,2026-08-06T21:42:03
10,0.120304,0.094063,50.6,2026-08-06T21:42:54
11,0.112138,0.098554,50.6,2026-08-06T21:43:45
12,0.111931,0.094322,50.6,2026-08-06T21:44:35
13,0.108828,0.093197,50.6,2026-08-06T21:45:26
14,0.108365,0.099794,50.7,2026-08-06T21:46:17
15,0.104511,0.088802,51.0,2026-08-06T21:47:08
16,0.098654,0.088078,50.8,2026-08-06T21:47:58
17,0.097797,0.102893,50.6,2026-08-06T21:48:49
18,0.096759,0.081490,50.6,2026-08-06T21:49:40
19,0.094969,0.086460,50.6,2026-08-06T21:50:30
20,0.091186,0.076860,50.6,2026-08-06T21:51:21
21,0.090172,0.091399,50.6,2026-08-06T21:52:12
22,0.090778,0.083230,50.7,2026-08-06T21:53:02
23,0.089893,0.091160,50.7,2026-08-06T21:53:53
24,0.084734,0.079898,50.6,2026-08-06T21:54:44
25,0.082374,0.072054,50.7,2026-08-06T21:55:35
26,0.081750,0.067468,50.6,2026-08-06T21:56:25
27,0.080989,0.070238,50.7,2026-08-06T21:57:16
28,0.077811,0.076901,50.6,2026-08-06T21:58:07
29,0.074837,0.081385,50.6,2026-08-06T21:58:57
30,0.075558,0.071233,50.7,2026-08-06T21:59:48
31,0.073707,0.069430,50.7,2026-08-06T22:00:39
32,0.071430,0.084727,50.7,2026-08-06T22:01:29
33,0.070970,0.074465,50.7,2026-08-06T22:02:20
34,0.071130,0.070784,50.7,2026-08-06T22:03:11
35,0.067980,0.067198,50.7,2026-08-06T22:04:01
36,0.065882,0.072239,50.7,2026-08-06T22:04:52
37,0.066385,0.070098,50.7,2026-08-06T22:05:43
38,0.070819,0.061581,50.7,2026-08-06T22:06:34
39,0.063990,0.077795,50.7,2026-08-06T22:07:24
40,0.064449,0.089139,50.7,2026-08-06T22:08:15
41,0.065893,0.070387,50.7,2026-08-06T22:09:06
42,0.061408,0.070018,50.7,2026-08-06T22:09:56
43,0.058617,0.083187,50.7,2026-08-06T22:10:47
44,0.059249,0.060722,50.7,2026-08-06T22:11:38
45,0.060472,0.078781,50.7,2026-08-06T22:12:28
46,0.059799,0.075900,50.7,2026-08-06T22:13:19
